"Restaurant.Name","City","Average.Cost.for.two","Has.Table.booking","Has.Online.delivery","Is.delivering.now","Votes","Aggregate.rating","Rating.text","Cuisine.code"
"Nini's Kitchen","Ahmedabad",950,0,1,0,1138,4.5,"Excellent",52
"Yanki Sizzlers","Ahmedabad",1200,0,0,0,1041,4.1,"Very Good",18
"The Garden Cafe - The Fern","Ahmedabad",1200,0,0,0,192,4.1,"Very Good",52
"Mazzo","Ahmedabad",550,0,1,0,166,3.9,"Good",15
"Turquoise Villa","Ahmedabad",1200,0,0,0,535,4,"Very Good",18
"Aryan Family's Delight","Allahabad",500,0,0,0,57,3.4,"Average",52
"Bean Here","Allahabad",350,0,0,0,76,3.3,"Average",15
"Bikanerwala","Allahabad",500,0,0,0,51,3.2,"Average",52
"Dewsis","Allahabad",600,0,0,0,99,3.4,"Average",52
"Friends Forever","Allahabad",600,0,0,0,83,3.4,"Average",52
"Hotel Ravisha Continental","Allahabad",600,0,0,0,18,3.4,"Average",52
"KFC","Allahabad",500,0,0,0,58,3.4,"Average",1
"McDonald's","Allahabad",400,0,0,0,53,3.3,"Average",22
"Pind Balluchi","Allahabad",800,0,0,0,6,3.2,"Average",52
"Pizza Hut","Allahabad",700,0,0,0,35,3.4,"Average",32
"Subway","Allahabad",400,0,0,0,32,3.4,"Average",22
"Tandoor Restaurant","Allahabad",500,0,0,0,151,3.2,"Average",52
"The BrewMaster","Allahabad",716.90036900369,0,0,0,49,3.3,"Average",52
"The Tamarind Tree","Allahabad",500,0,0,0,106,3.4,"Average",63
"Cafe El Chico","Allahabad",1000,0,0,0,59,3.6,"Good",18
"Eat On","Allahabad",200,0,0,0,105,3.7,"Good",52
"Hot Stuff","Allahabad",500,0,0,0,105,3.5,"Good",52
"Paradise","Allahabad",500,0,0,0,57,3.6,"Good",19
"Sagar Ratna","Allahabad",400,0,0,0,134,3.5,"Good",63
"Moti Mahal Delux","Allahabad",800,0,0,0,58,3.3,"Average",48
"Makhan Fish and Chicken Corner","Amritsar",700,0,0,0,345,3.4,"Average",52
"Charming Chicken","Amritsar",300,0,0,0,151,3.9,"Good",52
"Ahuja Milk Bhandar","Amritsar",100,0,0,0,52,4,"Very Good",9
"Crystal Restaurant","Amritsar",800,0,0,0,122,3.4,"Average",52
"Brijwasi Chat Bhandar","Amritsar",150,0,0,0,56,3.6,"Good",66
"Bubby Fish & Chicken Corner","Amritsar",300,0,0,0,91,3.5,"Good",52
"Bon Gateau","Amritsar",500,0,0,0,26,3.4,"Average",15
"The Yellow Chilli","Amritsar",1200,0,0,0,98,3.4,"Average",52
"La Roma Pizzeria","Amritsar",400,0,0,0,111,3.5,"Good",22
"Sakhis Watz Kukin","Amritsar",700,0,0,0,51,3.6,"Good",52
"The Kulcha Land","Amritsar",200,0,0,0,206,3.9,"Good",52
"Shudh Restaurant","Amritsar",600,0,0,0,44,3.4,"Average",52
"Bade Bhai Ka Brothers' Dhaba","Amritsar",500,0,0,0,94,3.7,"Good",52
"Bharawan Da Dhaba","Amritsar",500,0,0,0,461,3.5,"Good",52
"Brothers Dhaba","Amritsar",500,0,0,0,276,3.8,"Good",52
"Brothers' Amritsari Dhaba","Amritsar",400,0,0,0,71,3.8,"Good",52
"Gurdas Ram Jalebi Wala","Amritsar",100,0,0,0,104,4.1,"Very Good",46
"Kesar Da Dhabha","Amritsar",500,0,0,0,878,4.1,"Very Good",52
"Beera Chicken Corner","Amritsar",500,0,0,0,192,3.8,"Good",52
"Surjit Food Plaza","Amritsar",1000,0,0,0,96,3.5,"Good",52
"Kanha Sweets","Amritsar",150,0,0,0,140,4.1,"Very Good",22
"Kream N Krunch","Aurangabad",800,0,0,0,240,3.6,"Good",52
"Balbeer's Kitchen & Bar","Aurangabad",850,0,0,0,65,3.3,"Average",32
"Angeethi Restaurant","Aurangabad",600,0,0,0,63,3.3,"Average",52
"Domino's Pizza","Aurangabad",700,0,0,0,19,3.1,"Average",56
"Hotel Laadli","Aurangabad",350,0,0,0,46,3.4,"Average",52
"Indiana Veg Restaurant","Aurangabad",450,0,0,0,75,3.4,"Average",63
"Madhuban Restaurant - Welcome Hotel Rama International","Aurangabad",1800,0,0,0,94,3.4,"Average",52
"Mauj Restaurant","Aurangabad",500,0,0,0,47,3.3,"Average",32
"Naivedya","Aurangabad",500,0,0,0,71,3.4,"Average",52
"d' Curry House","Aurangabad",1000,0,0,0,73,3.6,"Good",18
"Mokoholic Juice Bar","Aurangabad",300,0,0,0,21,3.5,"Good",34
"Ashoka's Veg Restaurant","Aurangabad",400,0,0,0,46,3.3,"Average",63
"Kareem's Fine Dining","Aurangabad",700,0,0,0,45,3.3,"Average",48
"That Baat","Aurangabad",450,0,0,0,34,3.4,"Average",40
"Bhoj Restaurant","Aurangabad",450,0,0,0,89,3.7,"Good",52
"Downside Up","Aurangabad",400,0,0,0,8,3.2,"Average",15
"Kareem's Kabab & Biryani","Aurangabad",650,0,0,0,39,3.4,"Average",48
"Great Sagar Restaurant","Aurangabad",600,0,0,0,74,3.3,"Average",52
"Kailash Restaurant","Aurangabad",450,0,0,0,76,3.3,"Average",52
"Yalla Yalla","Aurangabad",500,0,0,0,71,3.3,"Average",52
"Sultans of Spice","Bangalore",1300,1,1,0,2416,4.1,"Very Good",52
"The Fatty Bao - Asian Gastro Bar","Bangalore",2400,1,1,0,2369,4.7,"Excellent",4
"Toit","Bangalore",2000,0,0,0,10934,4.8,"Excellent",32
"Three Dots & A Dash","Bangalore",1300,1,0,0,1354,3.9,"Good",21
"Bombay Brasserie","Bangalore",1500,0,1,0,231,4.2,"Very Good",47
"Glen's Bakehouse","Bangalore",800,0,0,0,3533,4,"Very Good",7
"Onesta","Bangalore",600,0,1,0,1413,4.3,"Very Good",56
"Onesta","Bangalore",600,0,0,0,781,4.6,"Excellent",56
"ECHOES Koramangala","Bangalore",950,0,0,0,276,4.7,"Excellent",18
"Truffles","Bangalore",800,0,1,0,9667,4.7,"Excellent",1
"The Black Pearl","Bangalore",1400,1,0,0,5385,4.1,"Very Good",52
"Eat Street","Bangalore",400,0,1,0,753,4.3,"Very Good",52
"Koramangala Social","Bangalore",1500,0,0,0,1288,4.5,"Excellent",18
"AB's - Absolute Barbecues","Bangalore",1400,0,0,0,6907,4.6,"Excellent",21
"Flechazo","Bangalore",1200,1,0,0,983,4.4,"Very Good",4
"Onesta","Bangalore",600,0,0,0,627,4.6,"Excellent",56
"Communiti","Bangalore",1200,0,0,0,334,4.2,"Very Good",18
"Big Brewsky","Bangalore",1800,1,1,0,5705,4.5,"Excellent",23
"Hoot","Bangalore",1400,0,0,0,405,3.9,"Good",18
"Farzi Cafe","Bangalore",1500,0,0,0,754,4.4,"Very Good",47
"Black N White Cafe","Bhopal",200,0,0,0,51,3.3,"Average",15
"Maybe There","Bhopal",600,0,0,0,63,3.4,"Average",15
"Sagar Gaire Fast Food","Bhopal",250,0,0,0,427,4.9,"Excellent",22
"The Kasbah","Bhopal",700,0,0,0,126,3.9,"Good",52
"Bake N Shake","Bhopal",500,0,0,0,223,4.2,"Very Good",22
"10 Downing Street","Bhopal",1000,0,0,0,257,4,"Very Good",52
"Chi Kitchen","Bhopal",1000,0,0,0,103,4,"Very Good",17
"Pizza Hut","Bhopal",650,0,0,0,118,4.1,"Very Good",56
"Kafe Kulture","Bhopal",600,0,0,0,98,3.8,"Good",15
"Violet Hour","Bhopal",500,0,0,0,33,3.8,"Good",7
"Bapu Ki Kutia","Bhopal",550,0,0,0,175,3.5,"Good",52
"Da pizzeria","Bhopal",500,0,0,0,111,3.6,"Good",56
"Papa Mexicano","Bhopal",350,0,0,0,20,3.6,"Good",22
"Bake N Shake","Bhopal",500,0,0,0,103,4.1,"Very Good",22
"Manohar Dairy And Restaurant","Bhopal",400,0,0,0,243,4.4,"Very Good",52
"Manohar Dairy And Restaurant","Bhopal",400,0,0,0,238,4.1,"Very Good",52
"Kebabsville - Sayaji Hotel","Bhopal",1800,0,0,0,128,4.3,"Very Good",52
"Indian Coffee House","Bhopal",500,0,0,0,161,3.9,"Good",63
"The Urban Socialite","Bhopal",900,0,0,0,79,3.8,"Good",32
"Bake N Shake","Bhopal",500,0,0,0,120,4.3,"Very Good",22
"Tyre Patty","Bhubaneshwar",500,0,0,0,289,3.9,"Good",15
"Silver Streak","Bhubaneshwar",550,0,0,0,379,4.1,"Very Good",17
"Barbeque Nation","Bhubaneshwar",1200,0,0,0,154,4.6,"Excellent",43
"Central Perk 7","Bhubaneshwar",600,0,0,0,145,4.5,"Excellent",15
"The Chicken Dinesty","Bhubaneshwar",500,0,0,0,247,3.9,"Good",22
"Taste Of China","Bhubaneshwar",500,0,0,0,145,4,"Very Good",17
"Michael's Kitchen","Bhubaneshwar",850,0,0,0,118,3.7,"Good",52
"Mamma Mia - Mayfair Lagoon","Bhubaneshwar",1400,0,0,0,256,4.1,"Very Good",15
"99 North Restaurant","Bhubaneshwar",450,0,0,0,173,3.6,"Good",52
"Adda","Bhubaneshwar",600,0,0,0,424,3.8,"Good",52
"Chill Ummm","Bhubaneshwar",450,0,0,0,338,3.7,"Good",17
"Lal Qila","Bhubaneshwar",500,0,0,0,228,3.7,"Good",48
"Richard's Kitchen & Coffee Bar","Bhubaneshwar",450,0,0,0,253,3.8,"Good",15
"Aangan Horizon","Bhubaneshwar",900,0,0,0,90,4,"Very Good",52
"Brewberrys The Coffee Bar","Bhubaneshwar",400,0,0,0,197,4,"Very Good",15
"Chai Break","Bhubaneshwar",800,0,0,0,69,4.3,"Very Good",32
"JUGAAD JN.","Bhubaneshwar",300,0,0,0,199,4.1,"Very Good",52
"Cha cTea","Bhubaneshwar",500,0,0,0,56,3.8,"Good",15
"Food Fever","Bhubaneshwar",900,0,0,0,49,4.2,"Very Good",17
"Mainland China","Bhubaneshwar",1500,0,0,0,345,4.3,"Very Good",17
"Eram Rooftop","Bhubaneshwar",400,0,0,0,89,3.5,"Good",4
"The Night Factory","Chandigarh",850,0,1,1,665,3.7,"Good",52
"Brooklyn Central","Chandigarh",1600,0,0,0,676,4.2,"Very Good",1
"Chili's","Chandigarh",1400,0,1,0,970,4.3,"Very Good",44
"Kylin Experience","Chandigarh",1600,0,0,0,300,4.1,"Very Good",33
"Mocha","Chandigarh",1400,0,0,0,428,4,"Very Good",18
"Pirates of Grill","Chandigarh",1200,0,0,0,1022,4,"Very Good",52
"Barbeque Nation","Chandigarh",1300,0,0,0,1450,4.5,"Excellent",52
"TGI Friday's","Chandigarh",1800,0,0,0,228,4.3,"Very Good",1
"Pal Dhaba","Chandigarh",700,0,0,0,982,3.8,"Good",52
"Midnight Chef","Chandigarh",1000,0,1,0,502,3.4,"Average",52
"Nik Baker's","Chandigarh",650,0,0,0,698,4.1,"Very Good",7
"OvenFresh","Chandigarh",650,0,0,0,397,4.1,"Very Good",15
"Super Donuts","Chandigarh",450,0,1,0,265,4,"Very Good",13
"Taco Bell","Chandigarh",600,0,1,0,252,4.2,"Very Good",44
"Karim's","Chandigarh",800,0,0,0,86,3.3,"Average",48
"Virgin Courtyard","Chandigarh",2200,0,0,0,817,4.4,"Very Good",32
"Burgrill","Chandigarh",500,0,1,0,249,4.5,"Excellent",13
"Uncle Jack's","Chandigarh",600,0,0,0,356,4,"Very Good",19
"That Madras Place","Chennai",800,1,1,0,1810,4.2,"Very Good",21
"Haunted","Chennai",800,1,1,0,519,3.8,"Good",52
"Pantry d'or","Chennai",750,1,1,0,1504,4.4,"Very Good",18
"Palmshore","Chennai",850,1,1,0,841,4.2,"Very Good",52
"Chili's","Chennai",1700,1,1,0,1262,4.8,"Excellent",44
"Writer's Cafe","Chennai",450,0,1,0,191,4.2,"Very Good",15
"Fusilli Reasons","Chennai",350,0,0,0,1510,4.6,"Excellent",32
"Ciclo Cafe","Chennai",1100,0,0,0,1004,4.1,"Very Good",15
"Kaidi Kitchen","Chennai",1500,1,1,0,1820,4,"Very Good",32
"Bombay Brasserie","Chennai",1200,1,1,0,1753,4.6,"Excellent",52
"Maplai","Chennai",1000,1,0,0,1714,4.2,"Very Good",63
"Paradise","Chennai",900,0,1,0,1317,3.8,"Good",11
"L'amandier","Chennai",1200,1,1,0,1607,4.3,"Very Good",21
"Palmshore","Chennai",850,1,1,0,645,4.4,"Very Good",52
"Palmshore","Chennai",850,1,1,0,742,4.3,"Very Good",52
"Basil With A Twist","Chennai",1500,1,1,0,1210,4.5,"Excellent",18
"Barbeque Nation","Chennai",2000,0,0,0,3848,4.4,"Very Good",52
"AB's - Absolute Barbecues","Chennai",1600,0,0,0,859,4.9,"Excellent",52
"Coal Barbecues","Chennai",1400,0,0,0,1267,4.6,"Excellent",52
"Pind","Chennai",900,1,0,0,2272,4,"Very Good",52
"Kuchi n Kream","Coimbatore",800,0,1,0,202,4.6,"Excellent",15
"Haribhavanam Hotel","Coimbatore",600,0,0,0,318,3.9,"Good",63
"Kites Cafe","Coimbatore",400,0,1,0,124,3.8,"Good",15
"Zucca Pizzeria","Coimbatore",600,0,1,0,274,3.5,"Good",56
"Burger Ka Baap","Coimbatore",500,0,0,0,147,4.3,"Very Good",22
"The Cascade Restaurant","Coimbatore",1200,0,1,0,243,4.1,"Very Good",17
"24 Plus Cafe & Restaurant","Coimbatore",450,0,0,0,24,3.8,"Good",18
"Valarmathi Kongunaatu Samayal","Coimbatore",350,0,0,0,380,4.5,"Excellent",63
"Bird On Tree","Coimbatore",1200,0,0,0,221,3.8,"Good",18
"Tim's Bistro","Coimbatore",700,0,1,0,85,3.9,"Good",52
"Batlivala & Khanabhoy","Coimbatore",1200,0,0,0,40,4.2,"Very Good",54
"Cafe Totaram","Coimbatore",600,0,1,0,132,4,"Very Good",15
"Cream Centre","Coimbatore",1000,0,0,0,203,4,"Very Good",52
"On The Go","Coimbatore",1500,0,0,0,215,4,"Very Good",32
"Sree Annapoorna","Coimbatore",400,0,0,0,225,4.3,"Very Good",63
"That's Y Food","Coimbatore",1400,0,0,0,299,4.2,"Very Good",52
"CakeBee","Coimbatore",350,0,1,0,200,4.9,"Excellent",7
"Yari","Coimbatore",700,0,0,0,221,4.2,"Very Good",52
"Cream Stone","Coimbatore",300,0,0,0,161,4.3,"Very Good",19
"Barbeque Nation","Coimbatore",1400,0,0,0,505,4.4,"Very Good",52
"The Punjabi Essence Restaurant","Dehradun",800,0,0,0,102,3.6,"Good",52
"Tirupati Restaurant","Dehradun",500,0,0,0,115,3.8,"Good",63
"Anandam","Dehradun",650,0,0,0,141,3.9,"Good",19
"Town Table Restaurant","Dehradun",1000,0,0,0,173,3.9,"Good",52
"Kalsang Friends Corner","Dehradun",750,0,0,0,406,4.2,"Very Good",17
"The Great Indian Pub","Dehradun",1500,0,0,0,50,4.9,"Excellent",52
"BMG - All Day Dining","Dehradun",716.90036900369,0,0,0,63,4.3,"Very Good",17
"Punjab Grill","Dehradun",1250,0,0,0,98,4,"Very Good",48
"TBistro","Dehradun",550,0,0,0,230,3.8,"Good",52
"Y Cafe & Restaurant","Dehradun",500,0,0,0,94,4,"Very Good",15
"Eddie's Patisserie","Dehradun",350,0,0,0,64,4.1,"Very Good",7
"First Gear Cafe","Dehradun",700,0,0,0,131,3.9,"Good",15
"Dunkin Donuts","Dehradun",600,0,0,0,101,3.9,"Good",13
"Doon Darbar","Dehradun",600,0,0,0,121,3.9,"Good",52
"Razzmatazz","Dehradun",400,0,0,0,39,3.9,"Good",15
"Barbeque Nation","Dehradun",1600,0,0,0,66,4.4,"Very Good",52
"Black Pepper Restaurant","Dehradun",1200,0,0,0,175,4,"Very Good",52
"Cafe Marigold","Dehradun",500,0,0,0,104,4.1,"Very Good",15
"Jalapenos","Dehradun",500,0,0,0,68,4.2,"Very Good",15
"Kalsang AMA Cafe","Dehradun",600,0,0,0,89,4.2,"Very Good",15
"Desire Foods","Faridabad",250,0,0,0,4,2.9,"Average",17
"Knight Rock","Faridabad",500,0,0,0,16,2.8,"Average",52
"Punjab Restaurant","Faridabad",150,0,0,0,8,2.8,"Average",52
"Raju Dhaba","Faridabad",150,0,0,0,8,2.9,"Average",52
"Rakheja Bakery","Faridabad",100,0,0,0,7,2.8,"Average",7
"Snax Points","Faridabad",300,0,0,0,4,3,"Average",17
"Cafe And More","Faridabad",300,0,0,0,4,2.9,"Average",22
"Green Chick Chop","Faridabad",350,0,0,0,7,3,"Average",59
"Kolkata Hot Kathi Rolls","Faridabad",300,0,0,0,11,2.9,"Average",22
"Kebab Xpress","Faridabad",600,0,1,0,49,2.8,"Average",52
"McDonald's","Faridabad",500,0,0,0,58,3.4,"Average",22
"Suruchi","Faridabad",700,0,0,0,233,3.4,"Average",52
"Berco's","Faridabad",1100,0,1,0,508,3.8,"Good",17
"Dunkin' Donuts","Faridabad",600,0,1,0,98,3.6,"Good",13
"The Chocolate Room","Faridabad",900,0,1,0,59,3.6,"Good",15
"KFC","Faridabad",500,0,1,0,57,2.1,"Poor",1
"Barbeque Nation","Faridabad",1600,0,0,0,299,4,"Very Good",52
"Yo! China","Faridabad",1300,0,1,0,239,4.1,"Very Good",17
"Giani's","Faridabad",400,0,0,0,16,3.2,"Average",30
"Momo-Cha","Faridabad",200,0,1,0,16,2.7,"Average",22
"Shree Rathnam","Faridabad",800,0,1,0,48,3.4,"Average",63
"Mirage Restro Bar","Faridabad",1000,1,0,0,25,2.4,"Poor",52
"Gelato Vinto","Faridabad",250,0,0,0,12,2.8,"Average",19
"Cakes 'n Bakes - Park Plaza","Faridabad",1000,0,0,0,15,3,"Average",7
"Cafe Bite","Faridabad",500,0,0,0,19,3.2,"Average",15
"Cafe Light","Faridabad",500,0,0,0,8,2.8,"Average",15
"Momo-Cha","Faridabad",450,0,0,0,20,2.8,"Average",52
"Oregano India","Faridabad",500,0,0,0,11,3.1,"Average",22
"Sagar Bakery","Faridabad",150,0,0,0,11,3,"Average",7
"Smugglers","Faridabad",450,0,1,0,7,3.1,"Average",52
"Welcome","Faridabad",700,1,0,0,13,2.9,"Average",52
"Chimney","Faridabad",800,1,1,0,25,3.3,"Average",52
"Chopstick","Faridabad",300,0,0,0,22,3,"Average",17
"Hot & Tasty Chinese Food","Faridabad",450,0,0,0,26,2.6,"Average",52
"Sanjha Chulha","Faridabad",700,0,1,0,16,2.9,"Average",52
"Frontier","Faridabad",200,0,0,0,7,2.9,"Average",7
"Oxy Lounge","Faridabad",1500,1,1,0,28,3.1,"Average",52
"Al Bake","Faridabad",600,0,1,0,31,3.2,"Average",52
"Anupam Sweet","Faridabad",400,0,0,0,70,3.4,"Average",52
"Cafe Coffee Day","Faridabad",450,0,0,0,67,3.3,"Average",15
"Chicago Pizza","Faridabad",600,0,0,0,35,2.7,"Average",56
"Crispy Crust","Faridabad",500,0,1,0,22,3.4,"Average",52
"Frontier","Faridabad",200,0,0,0,17,3.3,"Average",7
"Gulab","Faridabad",600,0,1,0,39,2.6,"Average",52
"Hunger Cure Express","Faridabad",500,0,0,0,35,3.3,"Average",22
"Maitre Patissier","Faridabad",500,0,0,0,35,3.4,"Average",7
"Momo-Cha","Faridabad",400,0,0,0,32,2.7,"Average",17
"Nirula's","Faridabad",950,0,0,0,14,2.6,"Average",22
"The Grub House","Faridabad",600,0,0,0,17,2.7,"Average",15
"Twenty Four Seven","Faridabad",300,0,0,0,35,3.4,"Average",22
"Cafe Parmesan","Faridabad",1000,0,0,0,799,4.5,"Excellent",32
"Briosca","Faridabad",400,0,1,0,62,3.6,"Good",7
"Burger Point","Faridabad",300,0,1,0,24,3.5,"Good",13
"Cafe Grub Up","Faridabad",900,1,0,0,134,3.8,"Good",15
"Cakes At Bhawanas","Faridabad",400,0,0,0,26,3.5,"Good",7
"Chaudhary Bhojnalaya","Faridabad",400,0,0,0,93,3.6,"Good",52
"Chickenette","Faridabad",650,0,0,0,280,3.7,"Good",59
"Giani","Faridabad",400,0,0,0,70,3.6,"Good",30
"Green Chick Chop","Faridabad",350,0,0,0,31,3.5,"Good",59
"Hash Stix","Faridabad",250,0,0,0,25,3.6,"Good",22
"Juice On Go","Faridabad",150,0,0,0,18,3.5,"Good",34
"Keventers","Faridabad",400,0,0,0,27,3.6,"Good",9
"MD's Kebabs & Curries","Faridabad",750,0,1,0,27,3.8,"Good",52
"Perfect Bake","Faridabad",400,0,0,0,39,3.5,"Good",7
"Perfect Bake","Faridabad",400,0,0,0,126,3.6,"Good",7
"Sethi's Delicacy","Faridabad",150,0,0,0,75,3.8,"Good",22
"Subway","Faridabad",500,0,0,0,143,3.5,"Good",1
"Cafí© Bogchi","Faridabad",650,0,1,0,153,4.1,"Very Good",15
"Ashoka Restaurant","Faridabad",400,0,0,0,43,2.9,"Average",52
"Baskin Robbins","Faridabad",300,0,1,0,4,2.9,"Average",30
"China Hot Pot","Faridabad",400,0,0,0,25,2.5,"Average",17
"Handi Chhadeyan Di","Faridabad",400,0,0,0,26,3.1,"Average",52
"Hungrill","Faridabad",500,0,0,0,4,3,"Average",52
"Kant Khana Khazana","Faridabad",250,0,0,0,22,3.4,"Average",52
"Open Yard","Faridabad",800,1,0,0,14,3.3,"Average",52
"Recipe Badshah","Faridabad",300,0,0,0,8,3.1,"Average",52
"The Chai Cafe","Faridabad",400,0,0,0,8,3.1,"Average",15
"Eat N Treat","Faridabad",400,0,0,0,20,2.8,"Average",17
"Hotel Ekant","Faridabad",700,0,0,0,39,2.7,"Average",52
"Momo-Cha","Faridabad",600,0,1,0,56,2.7,"Average",52
"Paradise Inn","Faridabad",500,0,0,0,43,2.7,"Average",52
"Red Chilli","Faridabad",300,0,0,0,9,2.8,"Average",17
"Shiv Restaurant","Faridabad",400,0,0,0,20,2.7,"Average",52
"Sohan Sweets & Namkeen","Faridabad",100,0,0,0,41,3.2,"Average",46
"The Binge Box Cafe","Faridabad",500,0,0,0,18,3.4,"Average",15
"Tmos Moving Feast","Faridabad",700,0,1,0,76,3.3,"Average",17
"Parkash Dhaba","Faridabad",200,0,0,0,6,3,"Average",52
"Sanjha Chulha","Faridabad",700,0,1,0,219,3.3,"Average",52
"Hareram Bikanerzaika","Faridabad",200,0,0,0,11,2.8,"Average",46
"Kulcha Paaji","Faridabad",100,0,0,0,12,3.1,"Average",66
"Shree Bikaner Misthan Bhandar","Faridabad",350,0,0,0,13,2.8,"Average",66
"The Hub - Gourmet, Bakers & More","Faridabad",200,0,0,0,7,3,"Average",7
"Funk House Cafe","Faridabad",650,0,1,0,15,2.6,"Average",15
"Shiksha Fast Food","Faridabad",200,0,0,0,5,2.9,"Average",22
"Lalit Kathi Rolls Momos","Faridabad",100,0,0,0,9,3.1,"Average",22
"Butter & Grace","Faridabad",700,0,1,0,7,3.1,"Average",52
"Green Chick Chop","Faridabad",350,0,0,0,9,3.1,"Average",59
"Snacks Bar","Faridabad",350,0,0,0,4,2.9,"Average",17
"Anupama Sweets & Family Restaurant","Faridabad",400,0,1,0,28,2.7,"Average",46
"Shree Rathnam","Faridabad",800,0,0,0,29,2.7,"Average",63
"Desi Tadka","Faridabad",500,0,0,0,6,3,"Average",52
"Destination Live","Faridabad",500,1,0,0,12,3.3,"Average",52
"Kay's Bake Land","Faridabad",150,0,0,0,19,3.1,"Average",7
"Kay's Food Land","Faridabad",100,0,0,0,14,3.1,"Average",7
"Laziz Restaurant","Faridabad",600,0,0,0,11,2.8,"Average",52
"Le Chef Restro Bar","Faridabad",1000,1,0,0,70,2.7,"Average",52
"Republic of Chicken","Faridabad",400,0,0,0,18,3.1,"Average",59
"Tanishka Restaurant & Caterers","Faridabad",300,0,0,0,14,2.9,"Average",52
"The Tandoori Times","Faridabad",500,0,0,0,48,2.7,"Average",52
"Twist of Italy","Faridabad",350,0,0,0,52,3.6,"Good",17
"Cravings","Faridabad",500,0,0,0,4,3,"Average",52
"Domino's Pizza","Faridabad",700,0,0,0,10,2.9,"Average",56
"Green Chick Chop","Faridabad",350,0,0,0,5,3.1,"Average",59
"Punjabi Culture","Faridabad",500,0,0,0,4,2.9,"Average",52
"Three Olives","Faridabad",550,0,0,0,4,2.9,"Average",32
"Hunger Cure","Faridabad",700,0,0,0,47,3.2,"Average",22
"Sanjha Chulha","Faridabad",700,0,1,0,79,2.5,"Average",52
"Queens Cakes","Faridabad",200,0,0,0,29,3.5,"Good",7
"Invitation Restaurant","Faridabad",500,0,1,0,17,2.7,"Average",52
"Kaushik Bakery","Faridabad",200,0,0,0,9,3,"Average",7
"Rama Vaishnav Bhojnalaya","Faridabad",250,0,0,0,7,3,"Average",52
"Shiv Saras Vyanjan","Faridabad",100,0,0,0,5,2.9,"Average",46
"Shree Bikaner Misthan Bhandar","Faridabad",300,0,0,0,8,3,"Average",46
"Shree Bikaner Misthan Bhandar","Faridabad",150,0,0,0,15,3.1,"Average",46
"Standard Family Restaurant","Faridabad",450,0,0,0,16,2.9,"Average",52
